标题,播放,评论,回馈率（‰）,分词后标题
7分钟视频，回顾神舟十五号载人飞船奔赴“天宫”之路,13000.0,16.0,1.2307692307692308,7 分钟 视频 ， 回顾 神舟 十五号 载人 飞船 奔赴 “ 天宫 ” 之 路
15:0！安理会通过涉朝制裁决议，中方赞成，并对安理会小组提要求,464000.0,144.0,0.3103448275862069,15 : 0 ！ 安理会 通过 涉朝 制裁 决议 ， 中方 赞成 ， 并 对 安理会 小组 提 要求
中国女空军警告美国军机：再靠近就拦截！,112000.0,53.0,0.4732142857142857,中国 女 空军 警告 美国 军机 ： 再 靠近 就 拦截 ！
《声生不息·宝岛季》华晨宇《一定要幸福》遨游音乐宇宙，温柔与幸福娓娓道来,14000.0,110.0,7.857142857142858,《 声生 不息 · 宝岛 季 》 华晨 宇 《 一定 要 幸福 》 遨游 音乐 宇宙 ， 温柔 与 幸福 娓娓道来
女子高铁霸座不听劝 乘警警告三次后遭辱骂 采取强制措施,17000.0,39.0,2.294117647058824,女子 高铁 霸座 不 听 劝   乘警 警告 三次 后 遭 辱骂   采取 强制措施
高校通报男生夜闯女寝：开除学籍,11000.0,5.0,0.4545454545454545,高校 通报 男生 夜闯女 寝 ： 开除 学籍
保安大叔双语播报火了！,108000.0,100.0,0.925925925925926,保安 大叔 双语 播报 火 了 ！
笑不活！外媒疯传中国下虫雨，辟谣后被外国网友各种感谢！,399000.0,1764.0,4.421052631578947,笑 不活 ！ 外媒 疯传 中国 下虫雨 ， 辟谣 后 被 外国 网友 各种 感谢 ！
台湾“邦交”只剩13个！吴钊燮还赖着不下台,20000.0,7.0,0.35,台湾 “ 邦交 ” 只 剩 13 个 ！ 吴钊燮 还赖 着 不 下台
海南施暴学生家人回应13岁女生被霸凌：自家小孩调皮，该赔就赔,51000.0,81.0,1.588235294117647,海南 施暴 学生 家人 回应 13 岁 女生 被 霸凌 ： 自家 小孩 调皮 ， 该 赔 就 赔
日本前首相鸠山由纪夫：外交即克服价值观差异,7079.0,11.0,1.5538917926260771,日本 前首相 鸠山由纪夫 ： 外交 即 克服 价值观 差异
云游南宁，航拍视角下的震撼体验,17000.0,39.0,2.294117647058824,云游 南宁 ， 航拍 视角 下 的 震撼 体验
对着日本旗，尹锡悦弯下了脊梁骨，韩国所谓的气节，原来是个笑话,51000.0,456.0,8.941176470588236,对 着 日本 旗 ， 尹锡悦 弯下 了 脊梁骨 ， 韩国 所谓 的 气节 ， 原来 是 个 笑话
“轻轻”敲醒沉睡的蘑菇,35000.0,9.0,0.2571428571428572,“ 轻轻 ” 敲醒 沉睡 的 蘑菇
洪水过后的春耕——河南,258000.0,2200.0,8.527131782945736,洪水 过后 的 春耕 — — 河南
再打3个月，俄军战术仍没胜算？美中央情报局评估，让乌松了口气,8067.0,17.0,2.107350935911739,再 打 3 个 月 ， 俄军 战术 仍 没 胜算 ？ 美 中央 情报局 评估 ， 让 乌松 了 口气
警方销毁49000瓶毒饮料：含管制药品，会使人麻醉及短暂失忆,11000.0,4.0,0.3636363636363636,警方 销毁 49000 瓶毒 饮料 ： 含 管制 药品 ， 会 使 人 麻醉 及 短暂 失忆
【卢克文工作室】轮胎革命：创新科技将成为门槛石,366000.0,1249.0,3.412568306010929,【 卢克文 工作室 】 轮胎 革命 ： 创新 科技 将 成为 门槛 石
“大饼画的太诱人！”司机求职莫名背高额车贷，维权遭踢皮球,8750.0,16.0,1.8285714285714283,“ 大饼 画 的 太 诱人 ！ ” 司机 求职 莫名 背 高额 车贷 ， 维权 遭 踢皮球
星云大师挺洪秀柱：领导大家做中国人,34000.0,21.0,0.6176470588235294,星云 大师 挺 洪秀柱 ： 领导 大家 做 中国 人
夫妻相约自杀，丈夫捅伤自己跳河，妻子未呼救离开被判故意杀人罪,61000.0,50.0,0.819672131147541,夫妻 相约 自杀 ， 丈夫 捅 伤 自己 跳河 ， 妻子 未 呼救 离开 被判 故意杀人罪
周深演唱《同心圆》，唱出湾区好风光！,20000.0,187.0,9.35,周深 演唱 《 同心圆 》 ， 唱 出 湾区 好 风光 ！
听说有人偷了我们的古筝名曲？,362000.0,858.0,2.3701657458563536,听说 有人 偷 了 我们 的 古筝 名曲 ？
外国人来华签证及入境政策调整了,85000.0,120.0,1.411764705882353,外国人 来华 签证 及 入境 政策 调整 了
联合国“欠费榜”榜一“大哥” → 美国,1155000.0,2782.0,2.4086580086580085,联合国 “ 欠费 榜 ” 榜 一 “ 大哥 ”   →   美国
运-20机长说正在训练“跑道被炸情况下起降”,182000.0,374.0,2.0549450549450547,运 - 20 机长 说 正在 训练 “ 跑道 被 炸 情况 下 起降 ”
厂家回应《流浪地球2》众筹周边翻车：成品全部作废 厂家承担损失,368000.0,153.0,0.4157608695652174,厂家 回应 《 流浪 地球 2 》 众筹 周边 翻车 ： 成品 全部 作废   厂家 承担 损失
国民党前副秘书长：若去年的围台军演变成“北平模式”会怎样,55000.0,33.0,0.6,国民党 前 副 秘书长 ： 若 去年 的 围台军 演变成 “ 北平 模式 ” 会 怎样
女子剪掉丈夫下体 罚款200元 行政拘留10日引争议 警方：等伤情鉴定结果判断是否立刑,196000.0,367.0,1.8724489795918369,女子 剪掉 丈夫 下体   罚款 200 元   行政拘留 10 日引 争议   警方 ： 等 伤情 鉴定 结果 判断 是否 立刑
美国给乌克兰画的饼终于兑现：新坦克没有了，旧的凑合着用吧,38000.0,187.0,4.921052631578948,美国 给 乌克兰 画 的 饼 终于 兑现 ： 新 坦克 没有 了 ， 旧 的 凑合着 用 吧
特朗普说中国没有毒品问题，还提到鸦片战争,2231000.0,3620.0,1.622590766472434,特朗普 说 中国 没有 毒品 问题 ， 还 提到 鸦片战争
官方通报交通局退休干部孙女炫富言论：已开展核查,235000.0,26.0,0.1106382978723404,官方 通报 交通局 退休干部 孙女 炫富 言论 ： 已 开展 核查
星云大师圆寂   他曾说：台湾没有台湾人，台湾哪个不是中国人,42000.0,30.0,0.7142857142857143,星云 大师 圆寂       他 曾 说 ： 台湾 没有 台湾人 ， 台湾 哪个 不是 中国 人
歼35发动机曝光，中国发动机离美国差距还有多少？,598000.0,1808.0,3.023411371237458,歼 35 发动机 曝光 ， 中国 发动机 离 美国 差距 还有 多少 ？
女子强坐警用摩托车拍照 交警三次警告无效采取强制措施,1777000.0,7200.0,4.051772650534609,女子 强坐 警用 摩托车 拍照   交警 三次 警告 无效 采取 强制措施
椰树猛男VS维达阳光，网友：维达小哥哥阳光帅气,56000.0,74.0,1.3214285714285714,椰树 猛男 VS 维达 阳光 ， 网友 ： 维达 小 哥哥 阳光 帅气
雷锋珍贵原声：我就是一个共青团员…,1922.0,4.0,2.081165452653486,雷锋 珍贵 原 声 ： 我 就是 一个 共青团员 …
有心了！老人2万多元纸币烧成焦炭，银行还原1.99万,1342000.0,88.0,0.0655737704918032,有心 了 ！ 老人 2 万多元 纸币 烧成 焦炭 ， 银行 还原 1.99 万
81192，请立即返航！,677000.0,2841.0,4.196454948301329,81192 ， 请 立即 返航 ！
总台纪录片带你走进山海经,525.0,1.0,1.9047619047619049,总台 纪录片 带 你 走进 山海经
最高礼仪致敬革命先烈 回顾空军接迎志愿军烈士遗骸回国之路,19000.0,60.0,3.1578947368421053,最高 礼仪 致敬 革命先烈   回顾 空军 接迎 志愿军 烈士 遗骸 回国 之 路
巴西正与饥饿斗争！近六成民众面临粮食危机！,386000.0,2200.0,5.699481865284974,巴西 正 与 饥饿 斗争 ！ 近 六成 民众 面临 粮食 危机 ！
学生给教科书改名，每一课名字都让人意想不到。网友：这几科让他研究得明明白白,431000.0,374.0,0.8677494199535963,学生 给 教科书 改名 ， 每一课 名字 都 让 人 意想不到 。 网友 ： 这 几科 让 他 研究 得 明明白白
热血沸腾！120秒看2022年国庆天安门广场升旗仪式,108000.0,293.0,2.7129629629629632,热血沸腾 ！ 120 秒 看 2022 年 国庆 天安门广场 升旗仪式
大爷杀疯了，谭SIR好害怕,423000.0,1252.0,2.959810874704492,大爷 杀 疯 了 ， 谭 SIR 好 害怕
从剑形刺刀到三棱刺刀 改进后的军刺性能更优越,6066.0,5.0,0.8242664029014177,从 剑形 刺刀 到 三棱 刺刀   改进 后 的 军 刺 性能 更优越
普京“硬汉柔情”！俄军人演讲忘词后，普京微笑鼓励：没事，这里都是自己人,217000.0,19.0,0.0875576036866359,普京 “ 硬汉 柔情 ” ！ 俄军 人 演讲 忘词 后 ， 普京 微笑 鼓励 ： 没事 ， 这里 都 是 自己 人
美国典当店老板将二战相册捐给中国，中国回赠其精美瓷器,335000.0,252.0,0.7522388059701492,美国 典当 店老板 将 二战 相册 捐给 中国 ， 中国 回赠 其 精美 瓷器
台湾自古属于中国，“自古”有多“古”？,74000.0,8.0,0.1081081081081081,台湾 自古 属于 中国 ， “ 自古 ” 有 多 “ 古 ” ？
【卢克文工作室】沙特伊朗和解，中国中东战略的一步妙棋！,1383000.0,7392.0,5.344902386117137,【 卢克文 工作室 】 沙特 伊朗 和解 ， 中国 中东 战略 的 一步 妙棋 ！
陈红军，今天是你的生日！我们没有忘记！,82000.0,571.0,6.963414634146342,陈 红军 ， 今天 是 你 的 生日 ！ 我们 没有 忘记 ！
美国拉拢芯片同盟，小国荷兰为什么能卡住中国芯片脖子？,110000.0,328.0,2.981818181818182,美国 拉拢 芯片 同盟 ， 小国 荷兰 为什么 能 卡住 中国 芯片 脖子 ？
俄乌战场的最新动向，预示着人类一个可怕的未来,100000.0,232.0,2.32,俄乌 战场 的 最新动向 ， 预示 着 人类 一个 可怕 的 未来
马克思，且听龙吟！“中国式现代化，中！”,39000.0,4.0,0.1025641025641025,马克思 ， 且 听 龙吟 ！ “ 中国式 现代化 ， 中 ！ ”
女子地铁上暴打小伙子，叫嚣男人必须站着！这是啥歪理？,162000.0,250.0,1.5432098765432098,女子 地铁 上 暴打 小伙子 ， 叫嚣 男人 必须 站 着 ！ 这 是 啥 歪理 ？
台湾军队缺肉，老百姓缺蛋缺水缺电，郭正亮批：闻所未闻离谱至极,182000.0,167.0,0.9175824175824177,台湾 军队 缺肉 ， 老百姓 缺蛋 缺水 缺电 ， 郭正亮 批 ： 闻所未闻 离谱 至极
广东卫视给高启强点歌了,46000.0,114.0,2.4782608695652173,广东 卫视 给 高启 强 点歌 了
3D“重回”MU5735坠机地：东航飞行事故救援纪实,21000.0,8.0,0.380952380952381,3D “ 重回 ” MU5735 坠机 地 ： 东航 飞行 事故 救援 纪实
身着尼姑装的女子高铁霸座拒不让位，辱骂乘警还躺地打滚乱踢，乘警警告无果后将其强制带离,63000.0,148.0,2.3492063492063493,身着 尼姑 装 的 女子 高铁 霸座 拒 不 让位 ， 辱骂 乘警 还 躺 地 打滚 乱 踢 ， 乘警 警告 无果 后 将 其 强制 带离
"“虎兔交接”仪式草草收尾,兔子：好险,差点成年夜饭！",908000.0,200.0,0.2202643171806167,"“ 虎 兔 交接 ” 仪式 草草 收尾 , 兔子 ： 好险 , 差点 成 年夜饭 ！"
美国无人机黑海坠毁事件的最新消息,20000.0,38.0,1.9,美国 无人机 黑海 坠毁 事件 的 最新消息
韩国要的台阶，我们没给，秦刚外长的发布会，一个韩国记者都没请,887000.0,995.0,1.121758737316798,韩国 要 的 台阶 ， 我们 没 给 ， 秦刚 外长 的 发布会 ， 一个 韩国 记者 都 没 请
海关截获年内首例活鼠病媒生物：1只姬鼠,29000.0,27.0,0.9310344827586208,海关 截获 年内 首例 活鼠 病媒 生物 ： 1 只 姬鼠
郭帆谈“五十岁以上出列”拍摄：喊停了外国群演还在哭！,309000.0,773.0,2.501618122977346,郭帆 谈 “ 五十岁 以上 出 列 ” 拍摄 ： 喊停 了 外国 群演 还 在 哭 ！
如果古代圣贤看到现代科技,83000.0,270.0,3.253012048192771,如果 古代 圣贤 看到 现代科技
高颜值情侣满22岁当天领证，19岁一见钟情异地恋：求婚过程超甜,77000.0,50.0,0.6493506493506493,高颜值 情侣 满 22 岁 当天 领证 ， 19 岁 一见钟情 异地 恋 ： 求婚 过程 超甜
胡鑫宇遗体在后山储粮仓库找到，衣服疑似前后反穿，用鞋带“上吊”,2012000.0,2175.0,1.081013916500994,胡鑫宇 遗体 在 后山 储粮 仓库 找到 ， 衣服 疑似 前后 反穿 ， 用 鞋带 “ 上吊 ”
惊艳！千年非遗“南音”遇上流行音乐,311000.0,1604.0,5.157556270096463,惊艳 ！ 千年 非遗 “ 南音 ” 遇上 流行音乐
普京：俄罗斯将在白俄罗斯部署战术核武器,141000.0,97.0,0.6879432624113475,普京 ： 俄罗斯 将 在 白俄罗斯 部署 战术 核武器
中国航天全记录,93000.0,17.0,0.1827956989247312,中国航天 全记录
西摩-赫什最新报告，把朔尔茨钉上耻辱柱，德国是美国人的德国？,15000.0,33.0,2.2,西摩 - 赫什 最新 报告 ， 把 朔 尔茨 钉 上 耻辱柱 ， 德国 是 美国 人 的 德国 ？
乌克兰举办“俄军坦克质量问题发布会”，看看乌克兰人都说了些什么,44000.0,203.0,4.613636363636364,乌克兰 举办 “ 俄军 坦克 质量 问题 发布会 ” ， 看看 乌克兰人 都 说 了 些 什么
人大校长林尚立：不靠文凭打天下，也是一种选择,80000.0,95.0,1.1875,人大 校长 林尚立 ： 不靠 文凭 打天下 ， 也 是 一种 选择
这个日本人坚持十余年收集日军侵华证据交给中国,1544000.0,5085.0,3.29339378238342,这个 日本 人 坚持 十余年 收集 日军 侵华 证据 交给 中国
乌克兰政客对华放狠话，声称摧毁俄罗斯后，下一步就是对中国宣战,288000.0,1286.0,4.465277777777778,乌克兰 政客 对华 放狠话 ， 声称 摧毁 俄罗斯 后 ， 下 一步 就是 对 中国 宣战
"台湾蛋鸡数量创历史新高 却仍""蛋荒""  民进党甩锅老母鸡",17000.0,34.0,2.0,"台湾 蛋鸡 数量 创 历史 新高   却 仍 "" 蛋荒 ""     民进党 甩锅 老母鸡"
穿上70斤重的排爆服“穿针引线”，累瘫！,5915.0,21.0,3.5502958579881656,穿 上 70 斤重 的 排爆 服 “ 穿针引线 ” ， 累瘫 ！
当爹要趁早！研究发现：年纪越大遗传给孩子突变基因越多,142000.0,444.0,3.126760563380282,当爹 要 趁早 ！ 研究 发现 ： 年纪 越大 遗传 给 孩子 突变 基因 越 多
特朗普以62%的支持率成共和党民调第一“不会让美国卷入“愚蠢”的战争”,1267000.0,1351.0,1.0662983425414363,特朗普 以 62% 的 支持率 成 共和党 民调 第一 “ 不会 让 美国 卷入 “ 愚蠢 ” 的 战争 ”
跟随记者庄晓莹近距离观看“飞豹”雪后起飞瞬间,18000.0,45.0,2.5,跟随 记者 庄晓莹 近距离 观看 “ 飞豹 ” 雪后 起飞 瞬间
【卢克文工作室】朝鲜的故事（一）：朝鲜如何一步步走向“主体思想”？,1478000.0,1204.0,0.8146143437077131,【 卢克文 工作室 】 朝鲜 的 故事 （ 一 ） ： 朝鲜 如何 一步步 走向 “ 主体 思想 ” ？
高质量发展在江苏！,28000.0,48.0,1.7142857142857142,高质量 发展 在 江苏 ！
"【中国天团】""笨笨""现身!国产机器狗背着7.62机枪，看它实弹射击！",269000.0,381.0,1.41635687732342,"【 中国 天团 】 "" 笨笨 "" 现身 ! 国产 机器 狗 背着 7.62 机枪 ， 看 它 实弹射击 ！"
英伟达CEO黄仁勋：90岁时我会以机器人形式继续工作,115000.0,86.0,0.7478260869565218,英 伟达 CEO 黄仁勋 ： 90 岁 时 我会 以 机器人 形式 继续 工作
暗访“日租女友” 女孩称过年忙不过来,61000.0,19.0,0.3114754098360655,暗访 “ 日租 女友 ”   女孩 称 过年 忙不过来
韩国赴乌参战网红回国，称韧带撕裂回来治疗：拒绝获得乌克兰身份,229000.0,280.0,1.222707423580786,韩国 赴 乌 参战 网红 回国 ， 称 韧带 撕裂 回来 治疗 ： 拒绝 获得 乌克兰 身份
远程穿云箭齐射，原声体验震撼现场,50000.0,141.0,2.82,远程 穿云箭 齐射 ， 原 声 体验 震撼 现场
太上头了！唢呐味的征兵宣传片,540000.0,813.0,1.5055555555555555,太 上头 了 ！ 唢呐 味 的 征兵 宣传片
枪战、卧底、濒死…真实记录边境禁毒故事,1320000.0,12000.0,9.09090909090909,枪战 、 卧底 、 濒死 … 真实 记录 边境 禁毒 故事
拼尽全力后的感动！2022年高考生查分瞬间！,19000.0,8.0,0.4210526315789474,拼 尽全力 后 的 感动 ！ 2022 年 高 考生 查分 瞬间 ！
中国海军，又又又又一艘！,231000.0,669.0,2.896103896103896,中国 海军 ， 又 又 又 又 一艘 ！
北京市二中院重金悬赏 最高可得1.1个亿,346000.0,76.0,0.2196531791907514,北京市 二中院 重金 悬赏   最高 可得 1.1 个 亿
佩洛西亚洲行行程公布 未提及台湾地区,22000.0,10.0,0.4545454545454545,佩洛西 亚洲 行 行程 公布   未 提及 台湾地区
刘德华：我可以认认真真地和大家说，我是中国人,1864000.0,3954.0,2.121244635193133,刘德华 ： 我 可以 认认真真 地 和 大家 说 ， 我 是 中国 人
台湾官兵饿得在沙滩写“伙房没肉”,284000.0,296.0,1.0422535211267605,台湾 官兵 饿 得 在 沙滩 写 “ 伙房 没肉 ”
在航母山东舰上，每天能吃7顿的饭菜能有多香？😋,1616000.0,1540.0,0.9529702970297028,在 航母 山东 舰上 ， 每天 能 吃 7 顿 的 饭菜 能 有 多香 ？ 😋
孩子吐血爸爸开车紧张到四肢抽搐,81000.0,41.0,0.5061728395061729,孩子 吐血 爸爸 开车 紧张 到 四肢 抽搐
高志凯：佩洛西窜访台湾将加快祖国和平统一,16000.0,5.0,0.3125,高志 凯 ： 佩洛西 窜 访 台湾 将 加快 祖国 和平统一
解放军是否会动武？驻美大使秦刚：中国人民不可侮，统一不可挡,69000.0,4.0,0.0579710144927536,解放军 是否 会 动武 ？ 驻美 大使 秦刚 ： 中国 人民 不可 侮 ， 统一 不可 挡
腾讯内部员工大会马化腾高度评价视频号：这基本是全公司的希望,68000.0,35.0,0.5147058823529412,腾讯 内部 员工 大会 马化腾 高度评价 视频 号 ： 这 基本 是 全 公司 的 希望
50岁老妈感慨容颜衰老，女儿镜头对准却惊艳：长发浓密皮肤紧致,54000.0,33.0,0.611111111111111,50 岁 老妈 感慨 容颜 衰老 ， 女儿 镜头 对准 却 惊艳 ： 长发 浓密 皮肤 紧致
CGTN独家专题片《佩洛西窜台 法理不容》，带您梳理台湾问题的历史经纬,4058.0,1.0,0.2464268112370626,CGTN 独家 专题片 《 佩洛西 窜 台   法理 不容 》 ， 带 您 梳理 台湾 问题 的 历史 经纬
美女偶遇帆布袋“狮子猫”：以为是装饰，结果是真的！,554000.0,59.0,0.1064981949458483,美女 偶遇 帆布袋 “ 狮子 猫 ” ： 以为 是 装饰 ， 结果 是 真的 ！
冉光辉：个个都考清华北大 是不可能的,119000.0,16.0,0.134453781512605,冉 光辉 ： 个个 都 考 清华北大   是 不 可能 的
伊朗总统访华代表团成员透露：“北京和解”酝酿于莱希总统访华之时,128000.0,92.0,0.71875,伊朗 总统 访华 代表团 成员 透露 ： “ 北京 和解 ” 酝酿 于 莱希 总统 访华 之 时
野战食品大揭秘！这是唯一一家带番号的军用食品厂,53000.0,56.0,1.0566037735849056,野战 食品 大 揭秘 ！ 这是 唯一 一家 带 番号 的 军用 食品厂
淄博烧烤，怎么就火“出圈”了？！,221000.0,425.0,1.9230769230769231,淄博 烧烤 ， 怎么 就 火 “ 出 圈 ” 了 ？ ！
一夜成名时，感觉被舆论操控了 | 专访九连真人乐队,3819.0,3.0,0.7855459544383347,一夜 成名 时 ， 感觉 被 舆论 操控 了   |   专访 九连 真人 乐队
精准连射、枪声清脆！191型精准步枪高原冒雨开打,747000.0,664.0,0.888888888888889,精准 连射 、 枪声 清脆 ！ 191 型 精准 步枪 高原 冒雨 开打
女子为夫报仇谋划多年，引诱黑帮老大爱上自己后将其绳之以法！,82000.0,20.0,0.2439024390243902,女子 为夫 报仇 谋划 多年 ， 引诱 黑帮 老大 爱上 自己 后 将 其 绳之以法 ！
甘宇获救后父亲含泪说：儿子你比我有出息！,304000.0,184.0,0.6052631578947368,甘宇 获救 后 父亲 含泪 说 ： 儿子 你 比 我 有 出息 ！
一个大预警：台当局举办无人机展览会，台版“弹簧刀”首次亮相,6012.0,6.0,0.998003992015968,一个 大 预警 ： 台当局 举办 无人机 展览会 ， 台版 “ 弹簧刀 ” 首次 亮相
王伟牺牲21周年！81192，我们永远等你返航,105000.0,390.0,3.7142857142857135,王伟 牺牲 21 周年 ！ 81192 ， 我们 永远 等 你 返航
“快递”来啦，请您查收！,52000.0,225.0,4.3269230769230775,“ 快递 ” 来 啦 ， 请 您 查收 ！
【269票赞成 37票反对  瑞典议会批准瑞典加入北约】,50000.0,43.0,0.86,【 269 票 赞成   37 票 反对     瑞典议会 批准 瑞典 加入 北约 】
全程回顾！一起见证梦天实验舱发射成功,147000.0,360.0,2.4489795918367347,全程 回顾 ！ 一起 见证 梦天 实验舱 发射成功
24岁女大学生回村当村支书火爆出圈,871000.0,304.0,0.34902411021814,24 岁 女 大学生 回村 当 村支书 火爆 出 圈
超震撼！全方位展示空军无人机实战对抗,58000.0,161.0,2.7758620689655173,超 震撼 ！ 全方位 展示 空军 无人机 实战 对抗
鹰警官上线！重庆一猫头鹰被派出所救助后开展反诈宣传,237000.0,115.0,0.4852320675105485,鹰 警官 上线 ！ 重庆 一 猫头鹰 被 派出所 救助 后 开展 反诈 宣传
他的名字和中国航天事业紧密相连,405000.0,668.0,1.6493827160493828,他 的 名字 和 中国 航天事业 紧密 相连
这就是我，中华人民共和国！,503000.0,38.0,0.0755467196819085,这 就是 我 ， 中华人民共和国 ！
打爆乌军各型战机，俄R37M出尽风头，但有1个问题，影响苏57发挥,8259.0,22.0,2.663760745853009,打爆 乌军 各型 战机 ， 俄 R37M 出尽 风头 ， 但 有 1 个 问题 ， 影响 苏 57 发挥
洪秀柱示好赴陆呼吁统一后，大陆解禁63家台企，民进党坐不住了,5562.0,5.0,0.8989572096368212,洪秀柱 示好 赴陆 呼吁 统一 后 ， 大陆 解禁 63 家台 企 ， 民进党 坐不住 了
【中英双语字幕】英国新王查尔斯三世 登基演讲：谢谢你，我亲爱的妈妈,1725000.0,4375.0,2.5362318840579707,【 中 英双语 字幕 】 英国 新王 查尔斯 三世   登基 演讲 ： 谢谢 你 ， 我 亲爱 的 妈妈
致敬！现实版“50岁以上的出列”,178000.0,76.0,0.4269662921348314,致敬 ！ 现实 版 “ 50 岁 以上 的 出列 ”
大风掀翻大锅菜，工人们不舍得浪费就着馍吃，感叹为了生活没有办法,342000.0,778.0,2.2748538011695905,大风 掀翻 大锅菜 ， 工人 们 不 舍得 浪费 就 着 馍 吃 ， 感叹 为了 生活 没有 办法
乌克兰女难民成“猎物”，英国男人的丑行，惊动了联合国,179000.0,389.0,2.1731843575419,乌克兰 女 难民 成 “ 猎物 ” ， 英国 男人 的 丑行 ， 惊动 了 联合国
飞身一挡！这位白衣少年太帅了！,568000.0,74.0,0.130281690140845,飞身 一挡 ！ 这位 白衣 少年 太帅 了 ！
18万养老钱存银行，银行：帮你买成保险啦,1356000.0,5086.0,3.750737463126844,18 万 养老 钱存 银行 ， 银行 ： 帮 你 买成 保险 啦
揭秘我国发射大火箭的大卡车,62000.0,157.0,2.532258064516129,揭秘 我国 发射 大 火箭 的 大卡车
女子看师傅修暖气被喷一脸泥：黑点和身上豹纹衣服还挺搭,148000.0,69.0,0.4662162162162162,女子 看 师傅 修 暖气 被 喷 一脸 泥 ： 黑点 和 身上 豹纹 衣服 还 挺 搭
尼泊尔失事客机乘客舱内拍下空难全过程：一声巨响后满屏火光,902000.0,400.0,0.4434589800443459,尼泊尔 失事 客机 乘客 舱内 拍 下 空难 全过程 ： 一声 巨响 后 满屏 火光
华为手机自燃？客服曾称可赔偿希望删掉视频，当事人：“不想再用华为，赔偿我5000元”,84000.0,123.0,1.4642857142857142,华为 手机 自燃 ？ 客服 曾称 可 赔偿 希望 删掉 视频 ， 当事人 ： “ 不想 再用 华为 ， 赔偿 我 5000 元 ”
你们要的下集来了哟~56式冲锋枪详细解析（下）,85000.0,277.0,3.2588235294117647,你们 要 的 下集 来 了 哟 ~ 56 式 冲锋枪 详细 解析 （ 下 ）
一身伤病，四战冬奥！徐梦桃赛场夺金背后,16000.0,4.0,0.25,一身 伤病 ， 四战 冬奥 ！ 徐梦桃 赛场 夺金 背后
央视曝光“网络水军”乱象,465000.0,3826.0,8.227956989247312,央视 曝光 “ 网络 水军 ” 乱象
小男孩和老虎隔玻璃“打拳” 网友：把老虎弄疯只需一个人类幼崽！,547000.0,234.0,0.4277879341864716,小男孩 和 老虎 隔 玻璃 “ 打拳 ”   网友 ： 把 老虎 弄 疯 只 需 一个 人类 幼崽 ！
卢拉赴华访问前夕，中方送上一份大礼，宣布同意恢复巴西牛肉输华,28000.0,26.0,0.9285714285714286,卢拉赴华 访问 前夕 ， 中方 送上 一份 大礼 ， 宣布 同意 恢复 巴西 牛肉 输华
外媒：解放军五大战区空军轮训台海 第6代超级战机已秘密研发,169000.0,407.0,2.408284023668639,外媒 ： 解放军 五大 战区 空军 轮训 台海   第 6 代 超级 战机 已 秘密 研发
"""我说外国人能搞的，难道中国人不能搞？""",1091000.0,1930.0,1.769019248395967,""" 我 说 外国人 能 搞 的 ， 难道 中国 人 不能 搞 ？ """
特朗普还没被逮捕 支持和反对者已经“开火”了,65000.0,102.0,1.5692307692307692,特朗普 还 没 被 逮捕   支持 和 反对者 已经 “ 开火 ” 了
【卢克文工作室】俄罗斯高层内部斗争详细分析（下）,956000.0,1052.0,1.1004184100418408,【 卢克文 工作室 】 俄罗斯 高层 内部 斗争 详细分析 （ 下 ）
东部战区，数架歼-20出击！,388000.0,413.0,1.0644329896907216,东部 战区 ， 数架 歼 - 20 出击 ！
入殓师用猪皮苦练缝合 只想给人最后的体面,223000.0,78.0,0.3497757847533632,入殓 师用 猪皮 苦练 缝合   只想 给 人 最后 的 体面
央视都报了：周杰伦演唱会搬线上近1亿人次观看,491000.0,480.0,0.9775967413441956,央视 都 报 了 ： 周杰伦 演唱会 搬线 上 近 1 亿人次 观看
近80年军售记录，看美国如何向世界“推销”战争 | 影子战争,486000.0,1479.0,3.0432098765432096,近 80 年 军售 记录 ， 看 美国 如何 向 世界 “ 推销 ” 战争   |   影子 战争
两岸统一进入倒计时？民进党创党元老直言，或在2027年前,17000.0,15.0,0.8823529411764707,两岸 统一 进入 倒计时 ？ 民进党 创党 元老 直言 ， 或 在 2027 年前
刘鑫大号小号，全被禁言！,67000.0,92.0,1.373134328358209,刘鑫 大号 小号 ， 全 被 禁言 ！
小伙点外卖称饿到不行  ，外卖小哥咆哮式回复太可爱,1541000.0,1202.0,0.7800129785853342,小伙 点 外卖 称 饿 到 不行     ， 外卖 小哥 咆哮 式 回复 太 可爱
余承东自曝被任正非猛批：不要只讲自己产品好,131000.0,46.0,0.3511450381679389,余承东 自 曝 被 任正非 猛批 ： 不要 只 讲 自己 产品 好
中国湿地之旅：高原上的湖泊有话说,3955.0,3.0,0.7585335018963337,中国 湿地 之旅 ： 高原 上 的 湖泊 有话 说
汕头某知名食品有限公司橄榄菜加工厂脏乱差、苍蝇到处飞,387000.0,705.0,1.8217054263565893,汕头 某 知名 食品 有限公司 橄榄 菜 加工厂 脏乱差 、 苍蝇 到处 飞
【卢克文工作室】阿根廷这个国家，是怎么搞成今天这样的？（下）,705000.0,2369.0,3.3602836879432627,【 卢克文 工作室 】 阿根廷 这个 国家 ， 是 怎么 搞 成 今天 这样 的 ？ （ 下 ）
【博主回应因打假海鲜市场疑被悬赏 有评论100万一颗心脏 “这些评论看着割不割心”】,290000.0,55.0,0.1896551724137931,【 博主 回应 因 打假 海鲜 市场 疑 被 悬赏   有 评论 100 万 一颗 心脏   “ 这些 评论 看着 割 不 割心 ” 】
