标题,播放,评论,回馈率（‰）
两岸统一进入倒计时？民进党创党元老直言，或在2027年前,17000.0,15.0,0.8823529411764707
刘鑫大号小号，全被禁言！,67000.0,92.0,1.373134328358209
小伙点外卖称饿到不行  ，外卖小哥咆哮式回复太可爱,1541000.0,1202.0,0.7800129785853342
余承东自曝被任正非猛批：不要只讲自己产品好,131000.0,46.0,0.35114503816793896
中国湿地之旅：高原上的湖泊有话说,3955.0,3.0,0.7585335018963337
汕头某知名食品有限公司橄榄菜加工厂脏乱差、苍蝇到处飞,387000.0,705.0,1.8217054263565893
【卢克文工作室】阿根廷这个国家，是怎么搞成今天这样的？（下）,705000.0,2369.0,3.3602836879432627
【博主回应因打假海鲜市场疑被悬赏 有评论100万一颗心脏 “这些评论看着割不割心”】,290000.0,55.0,0.1896551724137931
你是选择5公里还是开盲盒？,2022000.0,2449.0,1.2111770524233432
王亚平从太空回来后，有哪些“后遗症”？,206000.0,175.0,0.8495145631067961
这场演训，拍出了电影大片的质感！,225000.0,847.0,3.7644444444444445
携手并肩、比翼齐飞！轰-6K机长娶了空军女飞行员,66000.0,90.0,1.3636363636363638
歼-16D：听说有人想对付歼-20？,61000.0,17.0,0.2786885245901639
东部战区重磅发布：严阵以待 听令而战,182000.0,103.0,0.5659340659340659
网传“厅长儿子炫富”，这是又一个周劼？警方通报来了 #长春警方通报网民高调炫父,11000.0,63.0,5.7272727272727275
什么样的实验室要建在地下700米？,1311000.0,3164.0,2.413424866514111
台海军陆战队真枪被掉包成模型枪，军方吓得赶紧全面清点,48000.0,31.0,0.6458333333333334
魂归来兮！短短2小时航程他们走了几十年：2分钟回顾志愿军烈士回家路,58000.0,107.0,1.8448275862068964
"学生父亲吐槽""家长又有作业了""被老师踢出群聊  教育局：已介入调查",184000.0,92.0,0.5
李肃：特朗普革命快弄假成真了，关押特朗普美国的火山会真的喷发,55000.0,125.0,2.2727272727272725
“管好你自己”，美指控墨西哥“人权和暴力问题”，墨西哥总统：美方必须回应，蓄意破坏“北溪”的指控！,24000.0,18.0,0.75
專訪陳貝兒：暑假開拍《無窮》3　路程題材比前兩季「有過之而無不及」,4100.0,9.0,2.1951219512195124
再见了，乡秀树！杰克奥特曼人间体团时郎去世,844000.0,2467.0,2.9229857819905214
中国台湾男孩说唱盼统一，福建舰，福建见！,4548000.0,4681.0,1.0292436235708002
女子遭前夫报复割喉，伤口长达十多厘米，目前该男子已被拘留,100000.0,153.0,1.5299999999999998
震惊了！他们居然在十万吨级大船上养了它！,172000.0,84.0,0.4883720930232558
科学家怀疑高级文明在背后操控地球：太阳系三处“异常”被发现,10000.0,14.0,1.4
兔狲妈妈被雪豹捕杀 四川野生动物监测员投食喂养小兔狲,84000.0,90.0,1.0714285714285714
81岁奶奶熬夜看霸总小说，写两本字典厚心得，孙女：比我考试认真,41000.0,30.0,0.7317073170731707
130秒梳理！台北故宫的中华国宝有多珍贵,38000.0,31.0,0.8157894736842105
顿涅茨克等四地“入俄公投”结果公布 外交部回应,305000.0,231.0,0.7573770491803278
大陆暂停进口2066项台湾食品,2018000.0,251.0,0.12438057482656094
【卢克文工作室】访谈：时隔多年，做了近视手术的人现在都怎样了？,890000.0,1385.0,1.556179775280899
高燃！轰炸机穿越台湾海峡......200秒回顾解放军环台岛军演全程,42000.0,5.0,0.11904761904761904
听哭了！袁隆平生前唯一作词歌曲《种子》MV发布,252000.0,1202.0,4.76984126984127
奥巴马警告民主党：别只盯着特朗普,86000.0,38.0,0.4418604651162791
90岁抗美援朝老兵见到满桌现役装备：我也来试试！,358000.0,310.0,0.8659217877094972
国防部回应佩洛西计划访台：中国军队绝不会坐视不管！,538000.0,246.0,0.4572490706319703
2万乌军危急，美不许乌停火，北约2国援乌战机，冲突性质变了,50000.0,65.0,1.3
【卢克文工作室】中国外贸正在崩盘？（上）：后疫情时代全球需求疲软,1082000.0,2899.0,2.6792975970425137
震中道路损毁！甘孜特警上演“飞夺泸定桥”式救援,32000.0,43.0,1.34375
中国导弹“买家秀”！武契奇亲自体验满脸笑容,744000.0,164.0,0.22043010752688172
【飞夺泸定桥般的救援】他们把灾难踩在脚下，把人民扛在肩上！,153000.0,150.0,0.9803921568627451
不能轻启战端，没有大国能从战争中获益——俄乌战争的几个教训,54000.0,408.0,7.555555555555556
高燃！社交媒体出现瓦格纳集团呼吁美国军人加入视频,534000.0,1128.0,2.112359550561798
初三学生因成绩差开学被劝退 校方：读职高是“双赢”,212000.0,204.0,0.9622641509433962
男生第一次见女友穿婚纱，歪头皱眉 表情疑惑，网友：他纳闷自己咋被看上的,760000.0,56.0,0.07368421052631578
当你看完视频，中国又种下超一万棵树,488000.0,2180.0,4.467213114754098
“铲子哥”走红，军人临危为何如此冷静，全靠军事思维,416000.0,422.0,1.0144230769230769
人均200枚！吃不完的记得做成茶叶蛋哦！,384000.0,1334.0,3.473958333333333
请帮我为烈士寻找家人，谢谢,1891000.0,5858.0,3.0978318350079324
军营早餐怎么吃，你知道吗？,279000.0,141.0,0.5053763440860215
中国的努力，被以色列当成了阻力，以色列要逼沙特，做一道单选题,63000.0,140.0,2.2222222222222223
【张扬对话】郑渊洁还藏着400多集舒克贝塔，他什么时候发？,240000.0,950.0,3.9583333333333335
东北忘关单元门楼道冻成冰溶洞，拍摄者：怕造成危险拍照后清理了,859000.0,279.0,0.3247962747380675
日本主帅森保一：2026以世界第一为目标，要战胜法国和阿根廷,27000.0,23.0,0.8518518518518519
吉林高三女生郑春梅失踪超80天，郑父：没有新线索，看到胡鑫宇事情后很担心女儿,1339000.0,1264.0,0.9439880507841674
演员张颂文演讲《扎根》,909000.0,2636.0,2.8998899889988996
数字化合成营营长：俄乌冲突已经给了我们足够多的启示,133000.0,742.0,5.578947368421052
这堆黑黢黢的东西不是木炭，是毒品！,1287000.0,2165.0,1.6822066822066823
蔡英文站着汇报 美国政客抖着二郎腿,1461000.0,938.0,0.6420260095824778
【卢克文工作室】俄州火车事故解读（上）：美国为何不发展高质量客运铁路？,553000.0,2554.0,4.618444846292947
法高层接连与王毅见面，取消对华旅客限制，并确定马克龙访华时间,13000.0,4.0,0.3076923076923077
投降77周年，日本为什么甘做美国手里的“木偶”？,202000.0,162.0,0.8019801980198019
做到这几点，中国年轻人才有“不卷”的可能【宁南山】,190000.0,329.0,1.731578947368421
俄方不承认战场失利 仅称俄军是主动战略撤退,205000.0,123.0,0.6
泪目！百岁老兵病榻上惦念：台湾解放了吗？,701000.0,1682.0,2.399429386590585
取得歼-20战斗资质有多难？“王海大队”飞行员揭秘,360000.0,1664.0,4.622222222222222
24层楼高，餐厅、剧院、购物区、诊疗室应有尽有！我国首艘国产大型邮轮预计今年底前交付,119000.0,145.0,1.2184873949579833
"两侧主轴都坏了! 英国""威尔士亲王""号航母出现低级错误",47000.0,37.0,0.7872340425531915
工信部：拟出台措施 规范APP安装卸载行为,111000.0,309.0,2.7837837837837838
警惕美军“深度造假”式战争,117000.0,48.0,0.41025641025641024
从歼20到C919！大飞机工业背后有哪些高端制造？,336000.0,1106.0,3.2916666666666665
《中国礼 中国乐》4：在“成人礼”中体悟责任担当,3036.0,8.0,2.635046113306983
石家庄一自然保护区频现华北豹：体型健美动作灵敏，被拍到11次,6747.0,3.0,0.444642063139173
95后情侣结束8年恋爱长跑领证，男方提分手3年后追回：是彼此初恋,28000.0,3.0,0.10714285714285714
女子全身烧伤达90%，交往1个月的男友不离不弃照顾6年。女子：他每天给我按摩、涂药，从来没说过累，很心疼我。,90000.0,84.0,0.9333333333333333
电影《寻梦环游记》太奶奶原型去世，“死亡不是生命的终点，遗忘才是。”,762000.0,642.0,0.84251968503937
村民多次拦车讨红包，这是在砸当地旅游的招牌！,1819.0,2.0,1.0995052226498077
什么样的结局，才配得上这一路的颠沛流离,758000.0,758.0,1.0
这是一条不能燃的视频,4836000.0,5566.0,1.1509511993382961
没收到刘鑫约70万元赔偿金！江秋莲：已申请强制执行,149000.0,57.0,0.3825503355704698
乌军还有多少恶行？德国记者忍无可忍，亲自为俄军说公道话,212000.0,216.0,1.0188679245283019
QQ等级全球第一的人找到了，你的账号多少等级？,213000.0,93.0,0.43661971830985913
女子房顶种罂粟被查称炒菜用 民警：你别炒菜 这不是芹菜,2550000.0,822.0,0.3223529411764706
台军头叫嚣开第一枪后，金门士兵逃往大陆，已接受我海警救助,531000.0,659.0,1.24105461393597
西北工业大学遭美国NSA网络攻击,140000.0,143.0,1.0214285714285714
【赖岳谦】“台积电”果真要变“美积电”了！民进党就这样帮美国人“掏空”台湾,230000.0,548.0,2.382608695652174
3·15晚会曝光：揭秘诈骗分子如何通过共享屏幕诈骗,30000.0,22.0,0.7333333333333334
美国智库：高通胀持续冲击 25%美国成年人吃不饱饭,39000.0,49.0,1.2564102564102564
云南人对捡菌子有多执着！班可以不上，但菌子必须要捡,1291000.0,45.0,0.034856700232378
"枪杀安倍嫌犯的原型电影""完成版""上映 日本民众开售前雪地排队",821000.0,85.0,0.10353227771010963
小学生课间表演 “变脸” 赢得同学阵阵欢呼,247000.0,53.0,0.2145748987854251
41万租金的庙会摊位15天回本？！稳赚不赔！,317000.0,916.0,2.8895899053627763
友情提示：巨物恐惧症勿进！,28000.0,60.0,2.142857142857143
夕阳下的“军装秀”，你pick哪一套？,40000.0,13.0,0.325
马克龙宣布将对中国进行访问,146000.0,314.0,2.1506849315068495
谭谈就业,915000.0,2011.0,2.197814207650273
俄罗斯注定衰弱，却关乎中国战略全局？中国底线必须坚决守住,152000.0,226.0,1.486842105263158
乌克兰士兵受伤被战友抛弃，俄军发现后走了两公里，将他抬进医院,380000.0,172.0,0.4526315789473684
俄罗斯朋友的好意，我们心领了，但是给中国颁发和平奖，西方不配,60000.0,326.0,5.433333333333334
“玩火者”佩洛西,1608000.0,4958.0,3.0833333333333335
到底什么是专家？来听听他们说……,142000.0,245.0,1.7253521126760563
结局亮了 | 男子记错号码误拨警察电话买毒品......,506000.0,166.0,0.32806324110671936
严禁最先进设备出口！荷兰加强向中国供应光刻机的限制,12000.0,9.0,0.75
高启强都不敢碰！《狂飙》中的毒奶茶有多毒？,769000.0,319.0,0.41482444733420026
外交部组织多国驻华使节代表团访渝 重庆获盛赞“我简直无法形容这里的美”,40000.0,16.0,0.4
网络上对于我们当兵的打雪仗是有误解的。,291000.0,138.0,0.4742268041237114
中央网信办：要着力解决自媒体内容失真问题，堵住骗取网民捐赠的自媒体牟利途径,188000.0,372.0,1.9787234042553192
欧洲领导人开始密集访华，俄乌问题上无视中国态度已经不可能,299000.0,877.0,2.9331103678929766
满满的民族自豪感！中国留学生晒俄罗斯护送队 场面壮观,312000.0,61.0,0.1955128205128205
当屠夫杀猪的时候，猪却双脚跪下乞求放过。网发：不杀流泪牛不屠跪拜猪！,204000.0,35.0,0.1715686274509804
这类首饰，不能随便买！涉嫌违法,117000.0,100.0,0.8547008547008547
“416女团”一开口国潮氛围感拉满了,234000.0,297.0,1.2692307692307692
【石原里美得子】石原里美顺利生产当妈 孩子性别生日尚未公开,215000.0,264.0,1.2279069767441861
用户要求打真车？翼龙无人机：安排！,496000.0,2158.0,4.350806451612903
亚裔认为中国落后，伦敦小伙：听我说，我来告诉你什么是中国！,268000.0,166.0,0.6194029850746268
【第一视角】人的双手只有这么大，却载满了希望！,44000.0,28.0,0.6363636363636364
台民众受骗柬埔寨，中国使馆出手，民进党当局叫嚣绝不让人代劳,13000.0,1.0,0.07692307692307693
【国家电网】哪种取暖电器最省电？,348000.0,1456.0,4.183908045977011
跟警察合影需要注意些什么呢？,408000.0,58.0,0.14215686274509803
青年理性发声！维护国家主权没有“局外人”,358000.0,460.0,1.2849162011173185
直击国产新型智能弹药试验现场：火光四射 均质装甲板瞬间被击穿,16000.0,22.0,1.375
“没有美国参与的中东”！美媒：与美国人权灌输不同，中国对话政策很有吸引力,1905.0,1.0,0.5249343832020997
姚洋谈国企“二道贩子”现象，拿下项目不干活，转包给民企，对此，你怎么看？,212000.0,179.0,0.8443396226415095
科幻照进现实！《流浪地球2》武器装备全解析,250000.0,1387.0,5.548
中国仅有5株5000岁古树都在陕西,98000.0,31.0,0.3163265306122449
张杰《想见你想见你想见你》：全新演绎击中内心，千万个时间线里都是想见你。#声生不息宝岛季  正在热播中！#声生不息宝岛季开播,19000.0,9.0,0.47368421052631576
注意！抑郁症不易察觉的症状,39000.0,37.0,0.9487179487179487
美国人卖不了的我来卖，美国人凑不齐的装备我来凑，啥？中式合成旅整体首次打包销售,188000.0,597.0,3.175531914893617
《你好，中国风》,83000.0,71.0,0.8554216867469879
茶叶中藏着怎样的中国智慧？,329000.0,287.0,0.8723404255319149
遍地是红旗！法国近百万民众大罢工,1490000.0,3815.0,2.5604026845637584
“中国能防得住他国核打击”,1145000.0,2876.0,2.5117903930131007
乌士兵被俘后略显青涩供述是被抓上战场，吃饭时居然还给分发可乐,1057000.0,682.0,0.6452223273415326
广西一男子带鼠连过多个障碍，最后精准传“球”给狗子,3951.0,2.0,0.5062009617818274
茅台丁雄军：我们存了几十万吨茅台基酒，价值相当于好多万亿,230000.0,537.0,2.3347826086956522
兔狲探会之宪法宣誓篇：经典镜头创作有哪些鲜为人知的故事？,44000.0,11.0,0.25
波兰欲出兵打俄，危急时刻普京迎来强援？30万枚炮弹1亿子弹到位,8396.0,16.0,1.9056693663649356
洪都拉斯国会副议长：洪都拉斯立场明确 台湾是中国的一部分,3974.0,1.0,0.25163563160543534
我国科学家首次发现月球新矿物并命名为“嫦娥石”,1158000.0,1198.0,1.0345423143350605
港媒高層團｜訪深比亞迪「試車」　讚國產製造力非凡,60000.0,64.0,1.0666666666666667
中国军队国际形象网宣片《PLA》发布！,1354000.0,379.0,0.2799113737075332
【卢克文工作室】河南人的痛苦，只有河南人自己知道,6163000.0,63000.0,10.222294337173453
她走了22年，这些小品台词我们还能接得上,634000.0,683.0,1.0772870662460567
官方也困惑！印度4男子轮奸稀有巨蜥 手机录拍发指行为成为罪证,554000.0,942.0,1.7003610108303249
墨西哥总统：美国人也知道，墨西哥比美国更安全！,18000.0,7.0,0.38888888888888884
巴西总统卢拉：必须有人讨论和平，因为美欧不谈和平,76000.0,21.0,0.2763157894736842
网友在进藏火车上看到的一幕：护路员身背重物向列车敬礼。辛苦了！,137000.0,180.0,1.313868613138686
难得一见！探秘国产95-1式自动步枪生产线,167000.0,245.0,1.4670658682634732
美国不习惯听真话，更不愿正视自身的问题,443000.0,57.0,0.12866817155756208
冯远征：就任北京人艺院长后，再没接过外面的戏,96000.0,54.0,0.5625
云南的咖啡不仅可以喝还可以炒菜,19000.0,14.0,0.736842105263158
再次正告！外交部：若佩洛西“访台”，解放军绝不会坐视不管,239000.0,21.0,0.08786610878661089
“打卡”重庆光环购物公园，外国总领事们赞叹：现代化！有活力！,5582.0,4.0,0.7165890361877463
俄罗斯面面观 | 莫斯科跳蚤市场烟火气满满,3743.0,3.0,0.8014961261020571
营养餐给山区孩子带来了什么？支教老师拍的视频看哭网友,69000.0,115.0,1.6666666666666667
RT鹅军哥|AEK-971——昙花一现的特种突击步枪,9744.0,10.0,1.026272577996716
日本突然重新清点岛屿，称多出7000多座,239000.0,74.0,0.30962343096234307
这是一份来自家喻户晓的学霸的试卷……,433000.0,197.0,0.45496535796766746
过去24小时 解放军都做了什么？,1029000.0,2072.0,2.0136054421768708
美国姑娘穿汉服跳“卷珠帘”太惊艳！不爱迪士尼：想成为中国公主,15000.0,10.0,0.6666666666666666
这个特别版本的错位时空真的听到泪奔！致敬英烈，铭记历史！,81000.0,315.0,3.888888888888889
台湾民众怒了：在民进党施政下，活得一点尊严都没有！,26000.0,124.0,4.769230769230769
外交部宣布制裁佩洛西,79000.0,5.0,0.06329113924050633
我们拿文心一言和chatGPT比了比，结果是…,7058.0,15.0,2.1252479455936526
蔡英文欲窜美，大陆直接摊牌了，已改变对她的称呼，用意值得细品,365000.0,258.0,0.7068493150684931
欧洲议员发出灵魂拷问：我们是要与中国打仗么？这对我们有什么好处？我们有毛病吧？,2653000.0,788.0,0.29702223897474556
普京：2022年俄罗斯对外贸易额增长8.1%，全年实现贸易顺差3320亿美元,15000.0,11.0,0.7333333333333334
《声生不息·宝岛季》杨宗纬《鹿港小镇》抚平游子乡愁，愿霓虹灯照亮回家的路,8727.0,6.0,0.6875214850464078
福建舰最新画面曝光，舰体被熏黑有2好消息，电磁阻拦超美福特级,44000.0,156.0,3.545454545454546
王建煊:我当选后立即谈判和平统一 我们就叫中华人民共和国台湾特别行政区,292000.0,788.0,2.698630136986301
儿子研制神舟飞船送爸爸上太空！,34000.0,36.0,1.0588235294117647
一招自测发际线是否正常，科学记录发量变化,700000.0,1626.0,2.322857142857143
俄罗斯面面观 | 探访莫斯科购物中心：西方品牌撤出后 中国品牌填补空缺,44000.0,76.0,1.7272727272727273
【中国天团】狙击枪上放弹壳，她能坚持70分钟不掉落！,81000.0,7.0,0.08641975308641975
久居中国的美国人如何看待中美关系,47000.0,172.0,3.6595744680851063
种业翻身仗是什么“仗”？这“仗”怎么打？,290000.0,1369.0,4.720689655172414
正衣冠、盥洗礼、叩首礼、束脩礼……古人的拜师礼有多讲究,22000.0,28.0,1.2727272727272727
38年前的今天，五星红旗首次在南极飘扬！,1096.0,2.0,1.8248175182481752
听INTO-1刘宇《春风予你》，让雷锋精神常驻心间,129000.0,965.0,7.48062015503876
那年今日，刘胡兰英勇就义！,19000.0,316.0,16.63157894736842
